"ip_location","sentiment_category","count"
"广东","positive",121
"江苏","positive",60
"浙江","positive",48
"四川","positive",46
"河南","positive",45
"广东","neutral",44
"山东","positive",43
"湖南","positive",34
"北京","positive",33
"湖北","positive",30
"广东","negative",30
"河北","positive",29
"安徽","positive",29
"上海","positive",26
"福建","positive",25
"陕西","positive",24
"江西","positive",23
"广西","positive",21
"河南","negative",19
"重庆","positive",19
"山东","negative",17
"江苏","neutral",15
"四川","negative",15
"浙江","neutral",14
"浙江","negative",13
"北京","negative",13
"江苏","negative",13
"湖南","neutral",12
"安徽","negative",12
"广西","negative",12
"北京","neutral",11
"吉林","positive",11
"山东","neutral",11
"四川","neutral",11
"湖南","negative",11
"湖北","negative",10
"云南","positive",10
"重庆","neutral",10
"湖北","neutral",10
"浙江","unknown",10
"河北","negative",10
"辽宁","positive",9
"河南","neutral",9
"天津","positive",8
"江西","negative",8
"山西","positive",8
"广西","neutral",8
"贵州","positive",7
"内蒙古","positive",7
"广东","unknown",7
"澳大利亚","positive",7
"加拿大","positive",7
"上海","neutral",7
"内蒙古","negative",6
"辽宁","neutral",6
"黑龙江","positive",6
"江苏","unknown",6
"辽宁","negative",6
"上海","unknown",6
"江西","neutral",6
"甘肃","positive",6
"云南","negative",5
"黑龙江","negative",5
"上海","negative",5
"陕西","negative",5
"河北","neutral",5
"福建","negative",5
"福建","neutral",5
"美国","positive",5
"河南","unknown",4
"贵州","neutral",4
"马来西亚","positive",4
"安徽","neutral",4
"湖北","unknown",4
"海南","positive",4
"山西","neutral",4
"中国香港","positive",4
"吉林","unknown",4
"重庆","unknown",3
"四川","unknown",3
"新疆","positive",3
"天津","negative",3
"中国澳门","positive",3
"吉林","negative",3
"湖南","unknown",3
"马来西亚","neutral",3
"云南","neutral",3
"新疆","neutral",3
"中国香港","negative",2
"甘肃","neutral",2
"甘肃","negative",2
"黑龙江","unknown",2
"陕西","unknown",2
"宁夏","positive",2
"陕西","neutral",2
"西班牙","neutral",2
"山西","negative",2
"云南","unknown",2
"安徽","unknown",2
"英国","positive",2
"内蒙古","neutral",2
"山西","unknown",2
"中国台湾","positive",2
"北京","unknown",2
"新加坡","positive",2
"海南","neutral",2
"重庆","negative",2
"英国","unknown",1
"天津","neutral",1
"加拿大","negative",1
"江西","unknown",1
"宁夏","negative",1
"加拿大","neutral",1
"葡萄牙","negative",1
"美国","negative",1
"新加坡","negative",1
"澳大利亚","negative",1
"老挝","positive",1
"中国台湾","unknown",1
"青海","negative",1
"瑞士","positive",1
"日本","neutral",1
"新疆","negative",1
"黑龙江","neutral",1
"中国台湾","negative",1
"河北","unknown",1
"英国","negative",1
"山东","unknown",1
"中国香港","neutral",1
"马来西亚","negative",1
"青海","neutral",1
"海南","negative",1
"内蒙古","unknown",1
"泰国","positive",1
"韩国","positive",1
"福建","unknown",1
"美国","unknown",1
"俄罗斯","positive",1
"宁夏","neutral",1
"美国","neutral",1
"日本","negative",1
"法国","neutral",1
"甘肃","unknown",1
"阿联酋","negative",1
"日本","positive",1
