"date","sentiment_category","count"
"2022-04-24","positive",1
"2022-04-25","positive",2
"2022-04-26","positive",1
"2022-04-28","positive",1
"2022-04-29","positive",2
"2022-04-30","negative",1
"2022-04-30","positive",2
"2022-05-02","positive",3
"2022-05-03","neutral",1
"2022-05-03","positive",1
"2022-05-06","positive",1
"2022-05-08","negative",1
"2022-05-13","positive",1
"2022-05-15","positive",1
"2022-05-17","positive",1
"2022-06-10","neutral",1
"2022-06-10","positive",8
"2022-06-23","positive",2
"2022-06-24","positive",2
"2022-06-25","negative",1
"2022-06-25","positive",5
"2022-06-27","neutral",1
"2022-07-03","negative",1
"2022-07-05","positive",5
"2022-07-06","positive",1
"2022-07-10","negative",1
"2022-08-08","neutral",1
"2022-08-12","positive",1
"2022-08-18","positive",2
"2022-08-23","positive",1
"2022-09-12","negative",1
"2022-09-12","neutral",1
"2022-09-12","positive",3
"2022-09-13","positive",1
"2022-09-15","neutral",1
"2022-09-15","positive",2
"2022-09-19","positive",1
"2022-09-21","positive",1
"2022-09-24","negative",1
"2022-09-30","positive",1
"2022-10-02","neutral",1
"2022-10-02","positive",1
"2022-10-04","positive",1
"2022-10-08","neutral",1
"2022-10-12","positive",1
"2022-10-22","neutral",1
"2022-12-12","positive",3
"2022-12-13","positive",3
"2022-12-19","positive",1
"2022-12-23","positive",1
"2022-12-24","positive",1
"2022-12-27","positive",1
"2022-12-28","positive",1
"2023-01-01","negative",1
"2023-01-02","neutral",1
"2023-01-03","positive",1
"2023-01-04","negative",1
"2023-01-06","positive",1
"2023-02-04","positive",1
"2023-02-20","negative",1
"2023-02-20","neutral",1
"2023-02-20","positive",3
"2023-02-21","negative",1
"2023-02-21","positive",2
"2023-02-23","positive",1
"2023-02-24","positive",1
"2023-02-28","positive",1
"2023-03-05","positive",1
"2023-03-07","neutral",1
"2023-03-08","negative",1
"2023-03-08","unknown",1
"2023-03-09","negative",2
"2023-03-09","positive",6
"2023-03-13","positive",1
"2023-03-16","positive",1
"2023-03-21","negative",1
