id,timestamp,user_id,text,platform
post_000000,2025-05-28 06:08:42,user_57,包装精美，产品质量很好,小红书
post_000001,2025-05-30 15:30:42,user_152,质量太差了，完全不值这个价格,微信
post_000002,2025-05-26 01:23:42,user_472,服务态度超级好，非常满意！,抖音
post_000003,2025-05-09 09:48:42,user_795,产品和描述完全不符，很失望,小红书
post_000004,2025-05-23 07:10:42,user_917,客服态度很差，问题一直没解决,小红书
post_000005,2025-05-29 04:19:42,user_180,整体还可以，没有特别惊喜,微博
post_000006,2025-05-27 13:09:42,user_788,包装破损，产品也有问题,知乎
post_000007,2025-05-30 12:11:42,user_70,收到货了，还没来得及试用,微博
post_000008,2025-05-04 13:09:42,user_410,客服很耐心，解决问题很及时,小红书
post_000009,2025-05-29 11:32:42,user_121,服务态度超级好，非常满意！,知乎
post_000010,2025-05-16 20:56:42,user_38,发货太慢了，等了好久才收到,微信
post_000011,2025-05-15 23:55:42,user_74,包装破损，产品也有问题,微博
post_000012,2025-05-06 23:36:42,user_478,质量太差了，完全不值这个价格,抖音
post_000013,2025-05-21 17:01:42,user_631,质量太差了，完全不值这个价格,微博
post_000014,2025-05-14 03:46:42,user_667,客服很耐心，解决问题很及时,微信
post_000015,2025-05-05 18:39:42,user_121,服务态度超级好，非常满意！,小红书
post_000016,2025-05-07 12:46:42,user_723,收到货了，还没来得及试用,微博
post_000017,2025-05-16 04:42:42,user_619,包装精美，产品质量很好,知乎
post_000018,2025-05-29 15:31:42,user_67,发货速度正常，产品符合预期,抖音
post_000019,2025-05-06 16:58:42,user_874,包装破损，产品也有问题,微信
post_000020,2025-05-12 00:34:42,user_942,客服很耐心，解决问题很及时,知乎
post_000021,2025-05-22 21:03:42,user_247,这个产品真的很棒！强烈推荐给大家,小红书
post_000022,2025-05-23 15:54:42,user_612,价格适中，质量还行,小红书
post_000023,2025-05-06 09:29:42,user_99,包装精美，产品质量很好,抖音
post_000024,2025-05-21 19:00:42,user_378,包装精美，产品质量很好,抖音
post_000025,2025-05-08 14:33:42,user_61,产品和描述完全不符，很失望,知乎
post_000026,2025-05-24 02:42:42,user_294,发货太慢了，等了好久才收到,微博
post_000027,2025-05-15 10:58:42,user_129,发货太慢了，等了好久才收到,小红书
post_000028,2025-05-14 03:16:42,user_600,价格适中，质量还行,微博
post_000029,2025-05-04 17:25:42,user_498,发货速度很快，很满意这次购物体验,微信
post_000030,2025-05-18 14:43:42,user_124,发货太慢了，等了好久才收到,微博
post_000031,2025-05-21 12:08:42,user_156,发货速度很快，很满意这次购物体验,抖音
post_000032,2025-05-19 13:41:42,user_726,客服很耐心，解决问题很及时,抖音
post_000033,2025-05-11 04:32:42,user_958,发货速度正常，产品符合预期,微信
post_000034,2025-05-27 10:47:42,user_226,客服态度很差，问题一直没解决,抖音
post_000035,2025-05-10 09:43:42,user_42,质量很不错，物超所值,微信
post_000036,2025-05-15 21:09:42,user_71,客服回复及时，产品质量一般,抖音
post_000037,2025-05-06 00:03:42,user_305,这个产品真的很棒！强烈推荐给大家,知乎
post_000038,2025-05-22 12:40:42,user_36,包装破损，产品也有问题,抖音
post_000039,2025-05-27 10:29:42,user_681,包装破损，产品也有问题,微博
